COUNTER,AF3,F7,F3, FC5, T7, P7, O1, O2,P8, T8, FC6, F4,F8, AF4,GYROX, GYROY, TIMESTAMP, FUNC_ID, FUNC_VALUE, MARKER, SYNC_SIGNAL,
63,4186.67,4180.51,4181.54,4178.97,4179.49,4180.51,4177.95,4186.67,4190.77,4193.85,4241.54,4949.23,4189.23,4191.28,2045,2039,88.41,0,0,0,0,
64,4177.95,4176.41,4183.08,4183.59,4184.62,4183.59,4185.13,4186.15,4183.59,4188.21,4243.59,4952.31,4184.1,4186.67,2044,2038,88.418,0,0,0,0,
65,4197.44,4187.69,4185.64,4182.56,4181.03,4177.44,4175.38,4185.13,4187.69,4190.26,4248.72,4952.31,4197.44,4195.38,2044,2037,88.426,0,0,0,0,
66,4174.36,4173.85,4182.56,4181.54,4183.59,4182.05,4185.13,4183.08,4187.69,4192.82,4238.97,4944.62,4177.44,4184.1,2046,2038,88.434,0,0,0,0,
67,4184.62,4183.08,4185.64,4186.15,4178.97,4181.03,4177.95,4181.03,4185.64,4192.82,4240,4951.79,4186.15,4191.79,2045,2038,88.442,0,0,0,0,
68,4190.77,4190.26,4180.51,4184.1,4178.97,4177.44,4176.41,4185.64,4190.26,4190.26,4238.97,4950.77,4190.77,4193.85,2044,2038,88.45,0,0,0,0,
69,4175.9,4181.54,4182.56,4186.67,4185.64,4183.59,4188.21,4183.59,4184.1,4188.72,4240.51,4950.77,4171.79,4185.13,2044,2038,88.458,0,0,0,0,
70,4194.36,4187.69,4184.62,4184.1,4177.44,4181.03,4175.9,4184.1,4187.69,4193.33,4246.15,4954.36,4190.26,4194.87,2044,2036,88.466,0,0,0,0,
71,4180.51,4175.38,4181.54,4183.08,4180,4185.13,4182.05,4186.67,4189.23,4191.79,4237.95,4951.28,4181.54,4185.64,2044,2038,88.475,0,0,0,0,
72,4184.1,4179.49,4187.69,4186.15,4180.51,4181.54,4182.56,4182.56,4188.21,4190.26,4242.05,4954.87,4183.08,4190.26,2044,2037,88.483,0,0,0,0,
73,4184.1,4186.15,4183.08,4180.51,4178.46,4177.44,4180.51,4184.1,4191.28,4195.38,4242.05,4946.67,4188.72,4192.31,2045,2038,88.489,0,0,0,0,
74,4171.28,4178.97,4182.05,4186.15,4185.13,4184.1,4188.21,4181.54,4183.08,4192.31,4236.92,4948.72,4174.87,4183.08,2044,2037,88.499,0,0,0,0,
75,4193.85,4184.1,4184.1,4185.13,4181.03,4177.44,4174.36,4181.03,4188.72,4189.74,4242.56,4954.36,4191.79,4195.38,2045,2037,88.505,0,0,0,0,
76,4175.38,4176.41,4181.54,4180,4184.1,4181.03,4181.54,4185.13,4191.79,4191.28,4239.49,4942.56,4179.49,4189.23,2044,2037,88.513,0,0,0,0,
